"","V1","V2","V3","V4","V5","V6","V7"
"229","1000","female","2","59","9.7","8.6","88.67"
"230","1000","female","2","60","9.7","8.6","88.67"
"231","1000","female","2","61","9.7","8.6","88.67"
"232","1000","female","2","62","9.8","8.71","88.88"
"233","1000","female","2","63","9.8","8.54","87.1"
"234","1000","female","2","64","9.9","8.6","86.91"
"235","1000","female","2","65","9.9","8.6","86.91"
"236","1000","female","2","66","9.9","8.6","86.91"
"237","1000","female","2","67","9.8","8.28","84.45"
"238","1000","female","2","68","9.9","8.33","84.18"
"239","1000","female","2","69","10.2","8.43","82.69"
"240","1000","female","2","70","10.4","8.74","84"
"241","1000","female","2","71","10.3","8.68","84.23"
"242","1000","female","2","72","10.6","8.91","84.07"
"243","1000","female","2","73","10.8","8.95","82.85"
"244","1000","female","2","74","10.6","8.44","79.65"
"245","1000","female","2","75","10.6","8.19","77.28"
"246","1000","female","2","76","10.9","8.18","75.07"
"247","1000","female","2","77","10.7","8.01","74.82"
"248","1000","female","2","78","10.5","7.31","69.66"
"249","1000","female","2","79","10.6","7.1","66.98"
"250","1000","female","2","80","10.8","7.01","64.94"
"251","1000","female","2","81","11","7.31","66.44"
"252","1000","female","2","82","10.9","7.07","64.83"
"253","1000","female","2","83","10.7","7.12","66.56"
"254","1000","female","2","84","11.1","6.98","62.87"
"255","1000","female","2","85","11.7","7.14","61"
"256","1000","male","2","35","11.2","13.14","117.35"
"257","1000","male","2","36","11.3","13.22","116.99"
"258","1000","male","2","37","11.3","13.22","116.99"
"259","1000","male","2","38","11.3","13.22","116.99"
"260","1000","male","2","39","11.3","13.22","116.99"
"261","1000","male","2","40","11.3","13.22","116.99"
"262","1000","male","2","41","11.4","13.23","116.07"
"263","1000","male","2","42","11.5","13.24","115.16"
"264","1000","male","2","43","11.5","13.24","115.16"
"265","1000","male","2","44","11.6","13.33","114.92"
"266","1000","male","2","45","11.7","13.53","115.65"
"267","1000","male","2","46","11.6","13.24","114.12"
"268","1000","male","2","47","11.6","13.24","114.12"
"269","1000","male","2","48","11.6","13.24","114.12"
"270","1000","male","2","49","11.6","13.24","114.12"
"271","1000","male","2","50","11.6","13.24","114.12"
"272","1000","male","2","51","11.7","13.32","113.82"
"273","1000","male","2","52","11.7","13.32","113.82"
"274","1000","male","2","53","11.7","13.32","113.82"
"275","1000","male","2","54","11.8","13.63","115.51"
"276","1000","male","2","55","11.7","13.2","112.81"
"277","1000","male","2","56","11.5","12.49","108.62"
"278","1000","male","2","57","11.3","11.74","103.87"
"279","1000","male","2","58","11.3","11.74","103.87"
"280","1000","male","2","59","11.5","11.82","102.81"
"281","1000","male","2","60","11.3","11.51","101.83"
"282","1000","male","2","61","11.3","11.18","98.89"
"283","1000","male","2","62","11.1","10.59","95.37"
"284","1000","male","2","63","10.7","9.77","91.3"
"285","1000","male","2","64","10.8","9.51","88.09"
"286","1000","male","2","65","11.1","9.77","88.01"
"287","1000","male","2","66","11.1","9.61","86.62"
"288","1000","male","2","67","10.9","9.22","84.62"
"289","1000","male","2","68","11.1","9.31","83.87"
"290","1000","male","2","69","11.1","8.82","79.49"
"291","1000","male","2","70","11.2","8.85","79.06"
"292","1000","male","2","71","11.3","8.84","78.23"
"293","1000","male","2","72","11.1","8.16","73.49"
"294","1000","male","2","73","11","7.9","71.8"
"295","1000","male","2","74","11.3","8.19","72.49"
"296","1000","male","2","75","11.2","7.97","71.13"
"297","1000","male","2","76","11.2","7.67","68.47"
"298","1000","male","2","77","10.4","6.15","59.09"
"299","1000","male","2","78","10.5","5.89","56.08"
"300","1000","male","2","79","10.7","6.01","56.18"
"301","1000","male","2","80","10.7","5.89","55.07"
"302","1000","male","2","81","10.2","5.09","49.89"
"303","1000","male","2","82","10.2","4.91","48.13"
"304","1000","male","2","83","9.9","4.51","45.52"
"305","1000","male","2","84","10.2","4.07","39.9"
"306","1000","male","2","85","11.2","4.11","36.72"
